CUST_ORDER_ID,LOCATION_ID,PART_ID,TYPE,QTY,TRANSACTION_DATE,CREATE_DATE,USER_ID,PICK_HOUR,DAY_OF_WEEK,ZONE,AISLE_BIN,ORDER_SIZE,TOTAL_ORDER_QTY,PREV_LOCATION,NEXT_LOCATION,SECONDS_SINCE_LAST_PICK,LOCATION_RANK
015853,C4000000,1097062009,O,18.00000000,2009-04-22 00:00:00.000,2009-04-22 15:11:04.600,JUDER,15,4,C,4000000,4205,16646.00000000,D5000000,E4000000,537,2
015852,E4000000,1083311001,O,3.00000000,2009-04-22 00:00:00.000,2009-04-22 15:17:39.207,JUDER,15,4,E,4000000,4205,16646.00000000,C4000000,D6000000,395,1
015852,D6000000,1030006001,O,2.00000000,2009-04-22 00:00:00.000,2009-04-22 15:19:16.607,JUDER,15,4,D,6000000,4205,16646.00000000,E4000000,D7307100,97,2
015852,D7307100,1090103009,O,12.00000000,2009-04-22 00:00:00.000,2009-04-22 15:20:03.200,JUDER,15,4,D,7307100,4205,16646.00000000,D6000000,D7307603,47,3
015852,D7307603,1090153009,O,12.00000000,2009-04-22 00:00:00.000,2009-04-22 15:24:30.013,JUDER,15,4,D,7307603,4205,16646.00000000,D7307100,D5000000,267,4
015930,D5000000,1030096001,O,4.00000000,2009-04-23 00:00:00.000,2009-04-23 07:50:56.950,JUDER,7,5,D,5000000,4205,16646.00000000,D7307603,F4000000,59186,1
015930,F4000000,1050105055,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 07:52:34.467,JUDER,7,5,F,4000000,4205,16646.00000000,D5000000,D6000000,98,2
015930,D6000000,1030016001,O,4.00000000,2009-04-23 00:00:00.000,2009-04-23 07:55:02.360,JUDER,7,5,D,6000000,4205,16646.00000000,F4000000,D7307300,148,3
015930,D7307300,1090253009,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 07:56:23.697,JUDER,7,5,D,7307300,4205,16646.00000000,D6000000,D7307900,81,4
015930,D7307900,1090153009,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 07:57:21.240,JUDER,7,5,D,7307900,4205,16646.00000000,D7307300,D7307503,58,5
015930,D7307503,1090163009,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 07:58:17.413,JUDER,7,5,D,7307503,4205,16646.00000000,D7307900,C4000000,56,6
015931,C4000000,1030076001,O,6.00000000,2009-04-23 00:00:00.000,2009-04-23 08:06:26.517,JUDER,8,5,C,4000000,4205,16646.00000000,D7307503,D6000000,489,1
015931,D6000000,1030016001,O,6.00000000,2009-04-23 00:00:00.000,2009-04-23 08:07:45.973,JUDER,8,5,D,6000000,4205,16646.00000000,C4000000,D8398600,79,2
015931,D8398600,1098062009,O,6.00000000,2009-04-23 00:00:00.000,2009-04-23 08:09:41.800,JUDER,8,5,D,8398600,4205,16646.00000000,D6000000,C4000000,116,3
015932,C4000000,1030116001,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 08:16:08.290,JUDER,8,5,C,4000000,4205,16646.00000000,D8398600,C4000000,387,1
015932,C4000000,1030076001,O,6.00000000,2009-04-23 00:00:00.000,2009-04-23 08:26:40.487,JUDER,8,5,C,4000000,4205,16646.00000000,C4000000,E4000000,632,2
015932,E4000000,1083311001,O,1.00000000,2009-04-23 00:00:00.000,2009-04-23 08:41:44.900,JUDER,8,5,E,4000000,4205,16646.00000000,C4000000,D4000000,904,3
015932,D4000000,1081104001,O,1.00000000,2009-04-23 00:00:00.000,2009-04-23 08:43:41.087,JUDER,8,5,D,4000000,4205,16646.00000000,E4000000,D5000000,117,4
015932,D5000000,1038196001,O,4.00000000,2009-04-23 00:00:00.000,2009-04-23 08:45:26.180,JUDER,8,5,D,5000000,4205,16646.00000000,D4000000,D5000000,105,5
015932,D5000000,1087101001,O,3.00000000,2009-04-23 00:00:00.000,2009-04-23 08:49:14.903,JUDER,8,5,D,5000000,4205,16646.00000000,D5000000,D5000000,228,6
015934,D5000000,1030096001,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 08:55:58.230,JUDER,8,5,D,5000000,4205,16646.00000000,D5000000,C4000000,404,1
015934,C4000000,1030076001,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 08:57:50.413,JUDER,8,5,C,4000000,4205,16646.00000000,D5000000,F4000000,112,2
015934,F4000000,1088151055,O,1.00000000,2009-04-23 00:00:00.000,2009-04-23 09:00:16.550,JUDER,9,5,F,4000000,4205,16646.00000000,C4000000,D5000000,146,3
015934,D5000000,1038196001,O,2.00000000,2009-04-23 00:00:00.000,2009-04-23 09:08:07.333,JUDER,9,5,D,5000000,4205,16646.00000000,F4000000,D5000000,471,4
